Jeux,Description,Sortie,Test,Avis
Vanquish,"Vanquish sur PC est une version remaster du jeu de tir à la troisième personne, sorti en 2010 et vous plongeant dans un univers futuriste . La Russie a déclenché un nouveau conflit majeur et les forces américaines doivent reprendre une colonie spatiale qui est tombée sous le contrôle d'une horde de robots. Dans ce contexte, vous incarnez Sam Gideon, un agent de la DARPA doté d'une armure de combat capable de décupler les capacités humaines.",22 octobre 2010,18/20,17.2/20
Super Mario World,"Super Mario World sur Console Virtuelle Wii U vous fait incarner le plombier Mario, à la poursuite de Bowser qui a kidnappé pour la énième fois la princesse Peach. Exploitez de nouveaux objets tels que la plume permettant aux héros de planer pendant un court instant, et faites surtout connaissance avec le petit dinosaure vert Yoshi qui apparaît avec sa tribu pour la toute première fois dans la série.",1992,18/20,18.8/20
Wario Land 4,"Wario Land 4 est un jeu de plates-formes/action sur la console virtuelle Wii U. Vous incarnez Wario et partez en quête de la légendaire Pyramide d'Or. Choisissez votre niveau de difficulté, affrontez ennemis et boss peuplant les différentes zones et ramassez le plus de trésors possible.",16 novembre 2001,18/20,17.2/20
Wip3out,Avec Wip3out sur le Playstation Store faites monter votre adrénaline au plus haut sur des circuits complètement déjantés à bord de vaisseaux défiant les lois de la gravité et de la vitesse. Les premières places du podium se gagnent grâce à un arsenal dévastateur. Affrontez vos amis grâce au mode multi proposé dans le soft.,8 septembre 1999,18/20,18.2/20
Professeur Layton et le Masque des Miracles sur 3DS,"Professeur Layton et le Masque des Miracles est un jeu de réflexion sur 3DS. L'histoire se déroule cette fois à Dorémont, alors que Layton, Emmy et Luke enquêtent sur les agissements du mystérieux Maître du Masque du Chaos. L'occasion de revenir également dans le passé, à l'époque où Hershel Layton était encore au lycée. Le jeu comporte 150 nouvelles énigmes, et 365 autres à télécharger durant l'année suivant la sortie du jeu.",26 octobre 2012,18/20,18/20
Bioshock 2,"Jeu de tir à la première personne (FPS), BioShock 2 se déroule 10 ans après le premier opus. Ici vous incarnez un Protecteur qui doit traverser les rues de Rapture, la cité engloutie, et tenter d'obtenir enfin votre liberté. Pour y parvenir, vous devrez affronter de nombreux ennemis et prendre des décisions qui affecteront le sort de la ville toute entière. Mais la grande nouveauté de cet épisode tient à l'apparition d'un mode multi.",9 février 2010,18/20,17.7/20
Child of Light,"Dans le jeu de rôle Child of Light, le joueur peut explorer le monde fantastique de Lémuria au cours d'une quête épique. Le style de combat au tour par tour est inspiré des RPG japonais, et il y a aussi de nombreuses énigmes à résoudre pour découvrir la fin de l'histoire...",30 avril 2014,18/20,17.8/20
Starcraft II : Heart of the Swarm,"Starcraft II - Zerg : Heart of the Swarm est un jeu de stratégie en temps réel sur PC au sein d'une galaxie où trois factions s'affrontent sans merci. D'un côté, les Terrans, descendants de colons humains. De l'autre, les Protoss, une race très avancée technologiquement et dotée de pouvoirs psioniques. Enfin, les Zergs, hordes de créatures diverses issues de mutations biologiques et regroupées en essaim. Cet opus comprend la campagne solo Zerg et tout le nécessaire pour jouer en multi.",12 mars 2013,18/20,17.6/20
Power Strike II,"Power Strike II est une référence du shoot'em up de l'époque. Après avoir sélectionné l'arme que vous souhaitez pendant le cours du jeu, vous avez la possibilité d'augmenter sa puissance en collectant les bonus que vos adversaires vous laisseront une fois détruits. A chaque fin de niveau, vous devrez trouver la faille des nombreux boss du jeu.",1993,18/20,14.7/20
The Stanley Parable,"The Stanley Parable sur PC est un jeu d'exploration qui parodie la notion de choix et de narration dans le jeu vidéo. Alors qu'un Narrateur semble dicter vos moindres faits et gestes, tentez d'échapper à son contrôle pour faire vos propres expériences et découvrez que tous vos choix ne sont qu'illusion.",17 octobre 2013,18/20,18.5/20
Lemmings,"Votre tâche dans Lemmings sur PC est de secourir les petites créatures aux cheveux verts sur 120 niveaux. Un pourcentage d'individus à maintenir en vie vous est indiqué pour chaque mission. A vous de vous adapter à la configuration du terrain de jeu en assignant des tâches telles que creuser, construire un escalier ou encore bloquer le passage dans l'optique de ramener à bon port vos infatigables Lemmings.",14 février 1991,18/20,17.9/20
Castlevania : Dawn of Sorrow sur DS,"Castlevania : Dawn of Sorrow sur DS est un jeu d'action dont l'histoire se déroule une année après les évènements du dernier épisode de la série sur GBA. Le scénario met en scène les périples de Soma Cruz, qui se retrouve au coeur d'un mystérieux plan occulte visant à réincarner Dracula, le seigneur des ténèbres. Vous allez devoir vous infiltrer dans un nouveau château afin d'y découvrir l'envers du décor et percer les nouveaux mystères du seigneur vampire.",29 septembre 2005,18/20,19.4/20
Final Fantasy VII,"Dans le jeu de rôle Final Fantasy VII, le joueur incarne Cloud, ancien SOLDAT ayant rejoint le groupe terroriste Avalanche. Ce dernier essaye de déjouer les plans de la Shinra et en vient à se battre avec Sephiroth. Avec un système de combat en Active-Time et des matérias permettant de modifier les capacités des personnages, le jeu offre des mécaniques complexes et intéressantes.",17 novembre 1997,18/20,17.7/20
Gabriel Knight 3 : Enigme en Pays Cathare sur PC,"Gabriel Knight 3 : Enigme en Pays Cathare est un jeu d'aventure sorti sur PC. Invité par le Prince James Stuart, Gabriel assiste impuissant au kidnapping du jeune fils du Prince. Il n'a d'autre choix que de se mettre à la poursuite des malfaiteurs dans une histoire pleine de vampires qui se poursuivra en pays Cathare. L'intrigue tourne autour du mystère de Rennes-Le-Château.",8 décembre 1999,18/20,17/20
Crazy Taxi,"Crazy Taxi sur PC est l'adaptation de l'immense succès arcade du même nom dans lequel vous devez diriger un taxi à toute vitesse dans les rues de San Francisco. Vos clients vous imposent une limite de temps pour arriver à destination. Chaque course accomplie vous rapporte de l'argent et des secondes supplémentaire, mais conduire avec style vous fera aussi gagner quelques pourboires en sus.",25 février 2000,18/20,18.2/20
Diablo III,Diablo III : Eternal Collection comprend le jeu Diablo III ainsi que les extensions Reaper of Souls et Le Retour du Nécromancien. Le titre représente le premier jeu Blizzard sur console Nintendo depuis 2003. La collection prévoit également un contenu bonus inspiré de The Legend of Zelda.,15 mai 2012,18/20,18.2/20
Jazz JackRabbit 2,"Jazz JackRabbit 2 est un jeu de plates-formes et de tir dont l'histoire reprend là où le premier opus s'était terminé. Vous retrouverez Jazz pourchassant une nouvelle fois Devan Shell, mais cette fois-ci à travers les époques pour retrouver la bague avec laquelle Jazz veut demander Eva en mariage. Cet épisode propose un mode multijoueur jouable en LAN et par Internet avec deux nouveaux personnages : Spaz, le frère de Jazz, ainsi que sa soeur Lori qui possède de nouveaux mouvements.",1998,18/20,18.2/20
Ikaruga,"Shoot'em up disponible sur PC, Ikaruga vous permet de diriger un vaisseau pouvant passer à tout moment du noir au blanc. Lorsqu'il est noir, il absorbe les tirs de la même couleur mais il est vulnérable aux missiles blancs, et vice versa. Le joueur doit manier du mieux possible son vaisseau tout au long des nombreux niveaux du titre.",Mai 2003,18/20,17/20
Superbike 2001 sur PC,Superbike 2001 est un jeu de courses de motos sur PC. Enfourchez votre moto et partez à l'assaut des pistes au guidon de Honda VTR 100 SP-W et Bimota SB8R et beaucoup d'autres encore. Le soft propose près de 25 circuits de l'Allemagne à l'Italie en passant par l'Espagne. Superbike 2001 est jouable jusqu'à 8 joueurs en réseau local ou sur le net.,12 octobre 2000,18/20,17/20
Rayman Fiesta Run,Rayman Fiesta Run sur iPhone est un jeu de plates-formes dans lequel Rayman court tout seul dans des niveaux tordus. Le joueur doit se charger de le faire sauter et frapper au bon moment pour arriver sans dommages jusqu'à la fin de la zone.,7 novembre 2013,18/20,15.6/20
Lumines sur PSP,"Dans le puzzle-game Lumines, le joueur empile des blocs de 2x2 carrés. L'objectif est ici de créer des zones de même couleur. Plus la zone est importante, plus votre score augmente. Chaque zone de même couleur est ensuite effacée lorsque le métronome qui balaiera l'écran passe dessus.",1er septembre 2005,18/20,15.9/20
Bit.Trip Presents : Runner 2 - Future Legend of Rhythm Alien,"Bit.Trip Presents : Runner 2 - Future Legend of Rhythm Alien est un jeu de plate-forme musical de type running game dans lequel le joueur doit sauter, glisser, se protéger et frapper des obstacles en rythme. Au menu : 120 niveaux répartis en 5 mondes ponctués par des combats de boss.",26 février 2013,18/20,17.6/20
Battlefield 3,"Battlefield 3 : Back to Karkand sur PC est un pack de contenu téléchargeable destiné au FPS de DICE. Il propose une refonte de 4 cartes multijoueurs déjà apparues dans les précédents jeux de la licence : Frappe à Karkand, Ile Wake, Golfe d'Oman et Péninsule de Sharqi. Le pack donne aussi accès à de nouveaux véhicules, des armes classiques de la série Battlefield ainsi que 5 nouveaux dog tags.",6 décembre 2011,18/20,
LittleBigPlanet,LittleBigPlanet est un jeu de plates-formes. Vous dirigez un petit personnage (que vous aurez créé au préalable) dans un univers qu'il faut traverser en vous servant des objets récoltés et de ceux présents sur le tableau. Aidez-vous de l'environnement et de vos amis pour surmonter les obstacles et créez vos propres niveaux pour les proposer aux autres joueurs via Internet.,7 novembre 2008,18/20,17.9/20
Pro Evolution Soccer 3,Pro Evolution Soccer 3 est un jeu de football sorti sur PC. Incarnez vos joueurs préférés dans cette simulation du ballon rond qui vous permettra de vivre de hauts moments sur le terrain.,17 octobre 2003,18/20,17.8/20
Splinter Cell Chaos Theory,"Splinter Cell Chaos Theory sur PC est un jeu d'infiltration dans lequel vous incarnez une nouvelle fois Sam Fisher. De Panama à la Corée en passant par les USA, le but reste sensiblement le même, s'approcher le plus discrètement possible de sa cible grâce à une panoplie de mouvements étendue. Accrochez-vous au plafond puis suspendez-vous au-dessus d'une voie truffée de lasers détecteurs de mouvements. A moins que vous préfériez vous glisser dans ce petit conduit étroit ?",31 mars 2005,18/20,18.5/20
Landstalker : Le Trésor du Roi Nole,"Landstalker sur PC est un jeu de rôle/action en vue isométrique qui raconte les exploits d'un jeune elfe parti à la recherche du trésor du roi Nole. S'échelonnant sur une bonne dizaine d'heures, l'aventure se distingue par ses environnements extérieurs vastes et ses donjons redoutables.",Octobre 1993,18/20,17.9/20
Rayman 3 : Hoodlum Havoc,"Rayman 3 : Hoodlum Havoc est un jeu de plates-formes sorti sur PC. Incarnez Rayman qui doit aider son ami Globox qui s'est attiré les foudres des Hoodlums. Pour cela, traversez 11 univers en usant des 5 super-pouvoirs inédits de Rayman et en affrontant 20 types d'ennemis différents.",13 mars 2003,18/20,18.4/20
Troubadours,"Troubadours sur PC est un jeu éducatif développé par le studio français Lankhor. Le jeu permet d'incarner deux troubadours du Moyen Age qui, au détour de leurs pérégrinations et de leurs chants, rencontreront un magicien proposant d'accomplir une quête. Lors de cette aventure épique, seules vos connaissances sur les contes et les légendes, musiques, poésie, vocabulaire de la langue française vous permettront d'avancer et peut-être même de participer à un grand tournoi de tir à l'arc.",1988,18/20,16.3/20
Half-Life 2 : Episode One,Half-Life 2 : Episode One sur PC fait suite au jeu d'action à la première personne mettant en scène le scientifique Gordon Freeman accompagné de la charmante Alyx Vance. Le soft permet de reprendre là où le jeu original s'arrête : la Citadelle est en train de s'effondrer et vous devez trouver un moyen de vous échapper. L'arsenal et les ennemis de Half-Life 2 sont toujours présents ainsi que le précieux Gravity Gun permettant d'envoyer valser objets et adversaires.,1er juin 2006,18/20,16.6/20
